,imdbID,title,year,n_votes,imdb_rating,box_office,cast,genre,running_time,inflation_factor,box_office_adjusted,metscore,rotten_tomatoes,other_wins,other_noms
0,tt0097626,johnny handsome,1989,8324,6.2,7.24,7.0,3.0,96.0,0.8064516129032259,5.838709677419356,,6.2,0.0,3.0
1,tt0092997,extreme prejudice,1987,5649,6.7,1130784.49,3.0,3.0,104.0,0.8802816901408451,995408.8820422536,5.1,7.0,0.0,0.0
3,tt0120903,x-men,2000,545484,7.4,296.3,10.0,4.0,104.0,0.5807200929152149,172.0673635307782,6.4,8.1,13.0,26.0
4,tt0077975,national lampoon's animal house,1978,106817,7.5,141.6,6.0,1.0,109.0,1.5337423312883436,217.1779141104294,7.9,9.0,2.0,1.0
5,tt0091757,pirates,1986,7361,6.1,4560.0,6.0,3.0,726.0,0.9124087591240876,4160.58394160584,,3.0,2.0,1.0
6,tt1649419,the impossible,2012,182949,7.6,198.1,3.0,3.0,113.0,0.4355514516929884,86.282742580381,7.3,8.1,28.0,68.0
7,tt0077869,the lord of the rings,1978,28044,6.2,2919.0,15.0,3.0,558.0,1.5337423312883436,4476.993865030675,,5.2,1.0,2.0
8,tt0120338,titanic,1997,983627,7.8,2187.0,10.0,4.0,195.0,0.6230529595015576,1362.6168224299065,7.5,8.9,115.0,80.0
9,tt2488496,star wars: episode vii - the force awakens,2015,802470,7.9,2068.0,13.0,4.0,135.0,0.42191066463587,872.5112544669793,8.1,9.3,62.0,125.0
10,tt7768640,star wars: the force awakens,2015,8,6.0,2068.0,13.0,2.0,135.0,0.42191066463587,872.5112544669793,,,0.0,0.0
11,tt4154756,avengers: infinity war,2018,725561,8.5,2048.0,19.0,5.0,149.0,0.3982366082984544,815.5885737952347,6.8,8.5,44.0,64.0
12,tt0119654,men in black,1997,488855,7.3,589.4,5.0,4.0,98.0,0.6230529595015576,367.22741433021804,7.1,9.2,22.0,39.0
13,tt0369610,jurassic world,2015,551466,7.0,1672.0,8.0,3.0,124.0,0.42191066463587,705.4346312711748,5.9,7.2,15.0,57.0
14,tt2820852,furious 7,2015,342382,7.2,1516.0,10.0,3.0,137.0,0.42191066463587,639.6165675879789,6.7,8.1,33.0,34.0
15,tt2395427,avengers: age of ultron,2015,688839,7.3,1403.0,17.0,4.0,141.0,0.42191066463587,591.9406624841256,6.6,7.5,8.0,47.0
16,tt1825683,black panther,2018,551088,7.3,1347.0,11.0,4.0,134.0,0.3982366082984544,536.4247113780181,8.8,9.7,101.0,246.0
17,tt2527336,star wars: episode viii - the last jedi,2017,487996,7.1,1333.0,15.0,4.0,152.0,0.40796344647519583,543.815274151436,8.5,9.1,22.0,89.0
18,tt3486354,star wars: the last jedi,2008,87,8.3,1333.0,14.0,3.0,152.0,0.4644617120987632,619.1274622276512,,,0.0,0.0
19,tt4881806,jurassic world: fallen kingdom,2018,234437,6.2,1309.0,7.0,3.0,128.0,0.3982366082984544,521.2917202626769,5.1,4.8,4.0,24.0
20,tt2294629,frozen,2013,535203,7.5,1276.0,5.0,5.0,102.0,0.4292637697085728,547.7405701481389,7.4,9.0,78.0,57.0
21,tt3606756,incredibles 2,2018,220721,7.7,1243.0,5.0,4.0,118.0,0.3982366082984544,495.0081041149788,8.0,9.4,12.0,67.0
22,tt4630562,the fate of the furious,2017,188876,6.7,1236.0,11.0,3.0,136.0,0.40796344647519583,504.242819843342,5.6,6.7,1.0,9.0
26,tt1300854,iron man 3,2013,713364,7.2,1215.0,9.0,4.0,131.0,0.4292637697085728,521.555480195916,6.2,7.9,19.0,62.0
27,tt2293640,minions,2015,199532,6.4,1159.0,6.0,3.0,91.0,0.42191066463587,488.9944603129733,5.6,5.5,4.0,25.0
28,tt3498820,captain america: civil war,2016,610916,7.8,1153.0,16.0,5.0,147.0,0.4166545142433346,480.40265492256486,7.5,9.1,16.0,67.0
29,tt1477834,aquaman,2018,313995,7.0,1148.0,7.0,4.0,143.0,0.3982366082984544,457.17562632662566,5.5,6.5,1.0,35.0
30,tt0097332,far from home,1989,1839,5.5,0.01,4.0,4.0,86.0,0.8064516129032259,0.00806451612903226,,,0.0,0.0
31,tt1399103,transformers: dark of the moon,2011,371748,6.2,1124.0,10.0,3.0,154.0,0.4445649709476792,499.69102734519134,4.2,3.5,10.0,39.0
32,tt0167260,the lord of the rings: the return of the king,2003,1533400,8.9,1120.0,19.0,4.0,200.0,0.5434782608695652,608.695652173913,9.4,9.3,198.0,122.0
