,title,year,imdbID,precount_wins,precount_noms,win,nom,none
0,johnny handsome,1989,tt0097626,0,2,0,0,0
1,extreme prejudice,1987,tt0092997,0,0,0,0,0
2,x-men,2000,tt0120903,0,1,0,0,0
3,national lampoon's animal house,1978,tt0077975,0,0,0,0,0
4,pirates,1986,tt0091757,1,5,0,0,7
5,the impossible,2012,tt1649419,0,1,0,1,6
6,the lord of the rings,1978,tt0077869,0,0,0,0,0
7,titanic,1997,tt0120338,1,2,2,4,3
8,star wars: episode vii - the force awakens,2015,tt2488496,1,7,0,0,0
9,star wars: the force awakens,2015,tt7768640,0,0,0,0,0
10,avengers: infinity war,2018,tt4154756,0,5,0,0,0
11,men in black,1997,tt0119654,1,1,0,0,7
12,jurassic world,2015,tt0369610,0,0,0,0,0
13,furious 7,2015,tt2820852,0,0,0,0,0
14,avengers: age of ultron,2015,tt2395427,0,5,0,0,0
15,black panther,2018,tt1825683,1,0,0,1,6
16,star wars: episode viii - the last jedi,2017,tt2527336,0,2,0,0,0
17,star wars: the last jedi,2008,tt3486354,0,0,0,0,0
18,jurassic world: fallen kingdom,2018,tt4881806,0,0,0,0,0
19,frozen,2013,tt2294629,0,0,0,0,7
20,incredibles 2,2018,tt3606756,1,5,0,0,0
21,the fate of the furious,2017,tt4630562,0,0,0,0,0
22,iron man 3,2013,tt1300854,1,3,0,0,7
23,minions,2015,tt2293640,1,2,0,0,0
24,captain america: civil war,2016,tt3498820,0,2,0,0,0
25,aquaman,2018,tt1477834,0,3,0,0,0
26,far from home,1989,tt0097332,0,0,0,0,0
27,transformers: dark of the moon,2011,tt1399103,0,0,0,0,0
28,the lord of the rings: the return of the king,2003,tt0167260,0,4,0,0,0
29,skyfall,2012,tt1074638,3,11,0,0,7
30,transformers: age of extinction,2014,tt2109248,0,2,0,0,0
31,the dark knight rises,2012,tt1345836,1,3,0,0,0
32,toy story 3,2010,tt0435761,3,8,0,2,5
33,pirates of the caribbean: dead man's chest,2006,tt0383574,0,4,0,0,0
34,rogue one: a star wars story,2016,tt3748528,0,5,0,0,0
35,aladdin,1992,tt0103639,0,3,0,0,7
36,pirates of the caribbean: on stranger tides,2011,tt1298650,2,10,0,0,0
37,despicable me 3,2017,tt3469046,0,2,0,0,0
38,finding dory,2016,tt2277860,0,4,0,0,0
39,star wars: episode i - the phantom menace,1999,tt0120915,0,3,0,0,0
40,alice,1990,tt0099012,3,13,0,1,6
41,wonderland,2003,tt0335563,0,0,0,0,0
42,alice in wonderland,2010,tt1014759,0,5,0,0,7
43,zootopia,2016,tt2948356,0,0,0,0,0
44,the hobbit: an unexpected journey,2012,tt0903624,2,8,0,0,0
45,the dark knight,2008,tt0468569,2,6,1,1,6
46,american pie 2,2001,tt0252866,0,0,0,0,0
47,harry potter and the sorcerer's stone,2001,tt0241527,2,6,0,0,7
48,despicable me 2,2013,tt1690953,0,1,0,0,7
49,the lion,1962,tt0056186,1,3,0,0,0
50,the lion king,1994,tt0110357,0,0,0,0,7
51,pirates of the caribbean: at world's end,2007,tt0449088,1,6,0,0,0
52,jumanji: welcome to the jungle,2017,tt2283362,0,0,0,0,0
53,harry potter and the deathly hallows  part 1,2010,tt0926084,0,1,0,0,7
54,harry potter and the deathly hallows: part 2,2011,tt1201607,0,3,0,0,0
55,the hobbit: the desolation of smaug,2013,tt1170358,2,8,0,0,0
56,the hobbit: the battle of the five armies,2014,tt2310332,2,8,0,0,0
57,harry potter and the half-blood prince,2009,tt0417741,0,1,0,0,7
58,the lord of the rings: the two towers,2002,tt0167261,0,4,0,0,0
59,shrek 2,2004,tt0298148,1,2,0,0,7
60,bohemian rhapsody,2018,tt1727824,0,3,1,2,5
61,harry potter and the goblet of fire,2005,tt0330373,0,1,0,0,7
62,scary movie 3,2003,tt0306047,0,0,0,0,0
63,spectre,2015,tt2379713,3,4,0,0,7
64,spider-man: homecoming,2017,tt2250912,1,5,0,0,0
65,harry potter and the chamber of secrets,2002,tt0295297,0,1,0,0,0
66,ice age: continental drift,2012,tt1667889,0,0,0,0,0
67,batman v superman: dawn of justice,2016,tt2975590,1,6,0,0,0
68,the lord of the rings: the fellowship of the ring,2001,tt0120737,0,1,0,0,0
69,finding nemo,2003,tt0266543,0,3,0,1,6
70,the hunger games: catching fire,2013,tt1951264,3,3,0,0,0
71,guardians of the galaxy vol. 2,2017,tt3896198,0,0,0,0,7
72,inside out,2015,tt2096673,1,1,0,1,6
73,thor: ragnarok,2017,tt3501632,2,5,0,0,0
