imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms
tt0054380,the 3rd voice,1960,98.0,7.1,,,,,4,3,79 min,0,0
tt0053561,5 branded women,1960,395.0,6.7,,,,,4,2,115 min,0,0
tt0054415,12 to the moon,1960,947.0,3.1,,,,,4,1,74 min,0,0
tt0053558,13 fighting men,1960,54.0,4.7,,,,,4,3,69 min,0,0
tt0053559,13 ghosts,1960,4873.0,6.1,5.6,3.6,,,4,1,85 min,0,1.0
tt0053571,the adventures of huckleberry finn,1960,1225.0,6.3,,,,,4,4,107 min,0,1.0
tt0053580,the alamo,1960,13493.0,6.9,,5.2,,,4,5,162 min,6.0,8.0
tt0053582,all the fine young cannibals,1960,679.0,6.1,,,,,4,3,112 min,0,0
tt0053583,all the young men,1960,451.0,6.2,,,,,4,3,87 min,0,0
tt0053593,the amazing transparent man,1960,1946.0,3.9,,4.0,,,4,1,58 min,0,0
tt0053601,the angel wore red,1960,544.0,5.7,,,,,4,4,99 min,0,0
tt0053604,the apartment,1960,149612.0,8.3,9.4,9.4,,,4,3,125 min,19.0,8.0
tt0053622,butterfield 8,1960,5096.0,6.4,,4.7,,,4,1,109 min,0,6.0
tt0053641,because they're young,1960,251.0,6.0,,,,,4,1,102 min,0,0
tt0053644,the bellboy,1960,3535.0,6.5,,7.0,,,4,1,72 min,0,0
tt0053645,bells are ringing,1960,2618.0,7.0,,8.2,,,4,3,126 min,1.0,4.0
tt0053651,beyond the time barrier,1960,977.0,5.3,,6.0,,,4,2,75 min,0,0
tt0053654,the big night,1960,27.0,5.8,,,,,4,1,74 min,0,0
tt0053672,the boy and the pirates,1960,275.0,5.1,,,,,4,3,82 min,0,0
tt0053673,the bramble bush,1960,136.0,5.6,,,,,4,1,93 min,0,0
tt0053675,a breath of scandal,1960,648.0,5.6,,,,,4,3,97 min,0,0
tt0053689,cage of evil,1960,97.0,5.4,,,,,4,2,70 min,0,0
tt0053690,can-can,1960,1777.0,6.4,,,,,4,2,131 min,5.0,5.0
tt0053692,the cape canaveral monsters,1960,300.0,3.5,,,,,4,1,69 min,0,0
tt0052680,cash mccall,1960,1024.0,6.4,,,,,4,2,102 min,0,0
tt0053705,chartroose caboose,1960,33.0,6.8,,,,,4,2,75 min,0,0
tt0053715,cimarron,1960,2432.0,6.4,,,,,4,3,147 min,0,1.0
tt0053716,cinderfella,1960,2796.0,6.0,,,,,4,5,91 min,0,1.0
tt0053727,college confidential,1960,150.0,4.7,,,,,4,1,91 min,0,0
tt0053729,comanche station,1960,2872.0,7.0,,10.0,,,4,2,73 min,0,0
tt0053735,crack in the mirror,1960,154.0,7.1,,,,,4,2,97 min,0,0
tt0053742,the crowded sky,1960,549.0,5.9,,,,,4,4,105 min,0,0
tt0053750,the dark at the top of the stairs,1960,635.0,7.1,,,,,4,1,124 min,1.0,6.0
tt0053762,desire in the dust,1960,111.0,6.0,,,,,4,4,102 min,0,0
tt0053768,dinosaurus!,1960,860.0,5.0,,6.7,,,4,2,85 min,0,0
tt0053793,elmer gantry,1960,9454.0,7.8,,9.4,,,4,1,146 min,8.0,12.0
tt0053800,esther and the king,1960,532.0,5.5,,4.0,,,4,4,109 min,0,0
tt0053804,exodus,1960,8326.0,6.7,,6.7,,,4,4,208 min,4.0,7.0
tt0053810,the facts of life,1960,1153.0,6.5,,,,,4,3,103 min,0,11.0
tt0054878,five guns to tombstone,1960,79.0,5.3,,,,,4,3,71 min,0,0
tt0053825,flaming star,1960,2745.0,6.5,,9.1,,,4,1,101 min,0,0
tt0052819,four fast guns,1960,82.0,6.1,,,,,4,1,72 min,0,0
tt0053837,freckles,1960,40.0,5.5,,,,,4,2,83 min,0,0
tt0053841,from the terrace,1960,2303.0,6.7,,3.1,,,4,2,149 min,0,2.0
tt0053848,g.i. blues,1960,2977.0,6.3,,0.0,,,4,2,104 min,0,3.0
tt0053849,the gallant hours,1960,1288.0,7.1,,,,,4,3,115 min,0,0
tt0053865,girl of the night,1960,47.0,7.3,,,,,4,1,93 min,0,0
tt0053877,the grass is greener,1960,4204.0,6.5,,8.8,,,4,3,104 min,0,2.0
tt0053884,guns of the timberland,1960,270.0,5.7,,,,,4,2,91 min,0,0
tt0053899,hell bent for leather,1960,505.0,6.8,,,,,4,1,82 min,0,0
tt0053901,hell to eternity,1960,945.0,7.0,,,,,4,3,131 min,0,2.0
tt0053902,heller in pink tights,1960,944.0,6.1,,,,,4,1,100 min,0,0
tt0053912,high time,1960,530.0,6.2,,,,,4,2,103 min,0,1.0
tt0053917,home from the hill,1960,2694.0,7.4,,9.0,,,4,2,150 min,3.0,4.0
tt0054993,the horse with the flying tail,1960,120.0,6.7,,,,,4,2,48 min,0,0
tt0053925,house of usher,1960,11106.0,7.0,7.5,9.0,,,4,2,79 min,2.0,0
tt0053930,hyde and go tweet,1960,388.0,7.4,,,,,1,4,6 min,0,0
tt0053931,the hypnotic eye,1960,570.0,5.8,,,,,4,1,79 min,0,0
tt0053440,i aim at the stars,1960,161.0,6.4,,,,,4,2,107 min,0,0
