imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast,genre,running_time,other_wins,other_noms
tt0097626,johnny handsome,1989,8387.0,6.2,,6.2,,,4,3,94 min,0,3.0
tt0092997,extreme prejudice,1987,5735.0,6.7,5.1,7.0,,,4,6,104 min,0,0
tt0076759,star wars: episode iv - a new hope,1977,1164199.0,8.6,9.0,9.3,,,4,4,121 min,52.0,28.0
tt1661099,x,2011,6631.0,5.5,,7.0,,,4,3,90 min,0,1.0
tt0091757,pirates,1986,7361.0,6.1,,3.0,,,4,3,121 min,2.0,1.0
tt0117060,mission: impossible,1996,366902.0,7.1,5.9,6.3,,,4,3,110 min,3.0,17.0
tt1649419,the impossible,2012,183886.0,7.6,7.3,8.1,,19.0,4,3,114 min,28.0,68.0
tt2488496,star wars: episode vii - the force awakens,2015,820153.0,7.9,8.1,9.3,,936.66,4,3,138 min,62.0,125.0
tt7768640,star wars: the force awakens,2015,8.0,6.0,,,,,4,1,108 min,0,0
tt4154756,avengers: infinity war,2018,732619.0,8.5,6.8,8.5,,664.99,4,3,149 min,44.0,64.0
tt2395427,avengers: age of ultron,2015,692489.0,7.3,6.6,7.5,,429.11,4,3,141 min,8.0,47.0
tt2527336,star wars: episode viii - the last jedi,2017,514525.0,7.0,8.5,9.1,,619.12,4,4,151 min,22.0,89.0
tt3486354,star wars: the last jedi,2008,97.0,8.0,,,,,1,4,3 min,0,0
tt4881806,jurassic world: fallen kingdom,2018,237093.0,6.2,5.1,4.8,,,4,3,128 min,4.0,24.0
tt0077524,the evil,1978,1796.0,5.8,,,,,4,2,89 min,0,0
tt0120804,resident evil,2002,236717.0,6.7,3.3,3.6,,39.53,4,3,100 min,0,7.0
tt0338309,evil,2003,34193.0,7.8,6.1,6.8,,,4,1,113 min,9.0,9.0
tt3498820,captain america: civil war,2016,615519.0,7.8,7.5,9.1,,408.08,4,3,147 min,16.0,67.0
tt0097332,far from home,1989,1839.0,5.5,,,,,4,4,86 min,0,0
tt1399103,transformers: dark of the moon,2011,371748.0,6.2,4.2,3.5,,352.36,4,3,154 min,10.0,39.0
tt0167260,the lord of the rings: the return of the king,2003,1543175.0,8.9,9.4,9.3,,364.0,4,3,201 min,198.0,122.0
tt2109248,transformers: age of extinction,2014,288299.0,5.6,3.2,1.8,,206.76,4,3,165 min,5.0,23.0
tt0383574,pirates of the caribbean: dead man's chest,2006,627040.0,7.3,5.3,5.3,,423.03,4,3,151 min,43.0,53.0
tt3748528,rogue one: a star wars story,2016,513828.0,7.8,6.5,8.3,,532.17,4,3,133 min,24.0,80.0
tt1298650,pirates of the caribbean: on stranger tides,2011,458926.0,6.6,4.5,3.3,,241.06,4,3,136 min,2.0,31.0
tt0120915,star wars: episode i - the phantom menace,1999,685503.0,6.5,5.1,5.3,,431.0,4,4,136 min,26.0,65.0
tt0099012,alice,1990,12601.0,6.6,6.7,7.5,,,4,2,106 min,1.0,6.0
tt0903624,the hobbit: an unexpected journey,2012,729705.0,7.8,5.8,6.4,,303.0,4,3,169 min,10.0,72.0
tt0061852,the jungle book,1967,155312.0,7.6,6.5,8.7,,,4,4,78 min,4.0,3.0
tt0449088,pirates of the caribbean: at world's end,2007,567805.0,7.1,5.0,4.4,,309.4,4,3,169 min,20.0,44.0
tt2283362,jumanji: welcome to the jungle,2017,277847.0,6.9,5.8,7.6,,393.2,4,4,119 min,5.0,14.0
tt0926084,harry potter and the deathly hallows  part 1,2010,439851.0,7.7,6.5,7.7,,294.98,4,4,146 min,15.0,53.0
tt1201607,harry potter and the deathly hallows: part 2,2011,711059.0,8.1,8.7,9.6,,381.0,4,4,130 min,45.0,91.0
tt1170358,the hobbit: the desolation of smaug,2013,575054.0,7.8,6.6,7.4,,180.44,4,2,161 min,16.0,86.0
tt2310332,the hobbit: the battle of the five armies,2014,450625.0,7.4,5.9,5.9,,187.75,4,2,144 min,7.0,53.0
tt0167261,the lord of the rings: the two towers,2002,1391883.0,8.7,8.7,9.5,,339.7,4,3,179 min,123.0,137.0
tt2250912,spider-man: homecoming,2017,466698.0,7.4,7.3,9.2,,334.17,4,3,133 min,7.0,9.0
tt1667889,ice age: continental drift,2012,180327.0,6.6,4.9,3.7,,161.32,4,6,88 min,2.0,11.0
tt2975590,batman v superman: dawn of justice,2016,594076.0,6.5,4.4,2.8,,293.79,4,3,151 min,14.0,33.0
tt0120737,the lord of the rings: the fellowship of the ring,2001,1561773.0,8.8,9.2,9.1,,314.0,4,3,178 min,114.0,124.0
tt1951264,the hunger games: catching fire,2013,585514.0,7.5,7.6,8.9,,336.66,4,4,146 min,22.0,67.0
tt0084854,venom,1981,2269.0,5.8,,4.3,,,4,2,92 min,0,0
tt3501632,thor: ragnarok,2017,527289.0,7.9,7.4,9.3,,314.97,4,5,130 min,6.0,48.0
tt0121766,star wars: episode iii - revenge of the sith,2005,668783.0,7.5,6.8,8.0,,,4,4,140 min,26.0,61.0
tt1055369,transformers: revenge of the fallen,2009,371781.0,6.0,3.5,2.0,,402.08,4,3,150 min,15.0,27.0
tt1324999,the twilight saga: breaking dawn - part 1,2011,212769.0,4.9,4.5,2.5,,281.27,4,6,117 min,11.0,22.0
tt0055572,a woman is a woman,1961,13019.0,7.6,7.1,8.4,,,3,3,84 min,2.0,1.0
tt6079330,wonder(i) ,2017,39.0,7.5,,,,,4,1,N/A,0,0
tt0085724,independence day,1983,403.0,6.5,,,,,4,2,110 min,0,1.0
tt1790809,pirates of the caribbean: dead men tell no tales,2017,240612.0,6.6,3.9,3.0,,172.54,4,3,129 min,1.0,12.0
tt0083866,e.t. the extra-terrestrial,1982,349157.0,7.8,9.1,9.8,,,4,2,115 min,48.0,35.0
tt4912910,mission: impossible - fallout,2018,258470.0,7.8,8.6,9.7,,,4,3,147 min,20.0,37.0
tt1905041,furious 6,2013,353504.0,7.1,6.1,7.0,,238.7,4,3,130 min,10.0,22.0
tt1951265,the hunger games: mockingjay - part 1,2014,390301.0,6.6,6.4,6.9,,295.46,4,4,123 min,21.0,31.0
tt1877832,x-men: days of future past,2014,635927.0,8.0,7.5,9.0,,199.31,4,4,132 min,16.0,47.0
tt1277953,madagascar 3: europe's most wanted,2012,152076.0,6.8,6.0,7.9,,216.37,4,4,93 min,3.0,20.0
tt0363771,"the chronicles of narnia: the lion, the witch and the wardrobe",2005,348822.0,6.9,7.5,7.6,,291.69,4,3,143 min,15.0,46.0
tt0086960,beverly hills cop,1984,152422.0,7.3,6.4,8.1,,,4,4,105 min,3.0,4.0
tt1843866,captain america: the winter soldier,2014,693542.0,7.7,7.0,9.0,,228.64,4,3,136 min,5.0,50.0
tt1259571,the twilight saga: new moon,2009,253223.0,4.7,4.4,2.8,,296.59,4,5,130 min,20.0,24.0
tt1325004,the twilight saga: eclipse,2010,216767.0,5.0,5.8,4.8,,300.52,4,4,124 min,22.0,34.0
tt0087951,protocol,1984,4273.0,5.5,,2.5,,,4,1,96 min,0,0
tt0061042,hunger,1966,2601.0,7.9,,,,,4,1,112 min,6.0,1.0
tt0085701,the hunger,1983,21463.0,6.7,5.2,5.2,,,4,2,97 min,0,2.0
tt2381249,mission: impossible - rogue nation,2015,321014.0,7.4,7.5,9.3,,154.98,4,3,131 min,6.0,24.0
tt0438097,ice age: the meltdown,2006,241427.0,6.8,5.8,5.7,,195.3,4,4,91 min,8.0,16.0
tt4123430,fantastic beasts: the crimes of grindelwald,2018,187555.0,6.6,5.2,3.7,,,4,3,134 min,2.0,16.0
tt1951266,the hunger games: mockingjay - part 2,2015,262249.0,6.5,6.5,7.0,,254.64,4,4,137 min,17.0,34.0
tt0121765,star wars: episode ii - attack of the clones,2002,592407.0,6.6,5.4,6.5,,307.9,4,4,142 min,19.0,63.0
tt1981115,thor: the dark world,2013,561868.0,6.9,5.4,6.6,,206.36,4,3,112 min,3.0,21.0
tt0119567,the lost world: jurassic park,1997,356711.0,6.6,5.9,5.4,,,4,3,129 min,4.0,27.0
tt3371366,transformers: the last knight,2017,125763.0,5.2,2.7,1.5,,130.1,4,3,154 min,2.0,19.0
tt0479952,madagascar: escape 2 africa,2008,191714.0,6.6,6.1,6.4,,179.98,4,4,89 min,4.0,11.0
tt0069957,deep throat part ii,1974,421.0,4.2,,,,,4,2,88 min,0,0
tt0089469,legend,1985,56315.0,6.5,3.0,3.6,,,4,3,94 min,1.0,10.0
tt0086190,star wars: episode vi - return of the jedi,1983,886165.0,8.3,5.8,8.2,,,4,4,131 min,20.0,16.0
tt3731562,kong: skull island,2017,251020.0,6.6,6.2,7.5,,167.99,4,4,118 min,1.0,18.0
tt0089798,perfect,1985,4312.0,4.5,4.6,1.9,,,4,2,115 min,1.0,4.0
tt2179136,american sniper,2014,413938.0,7.3,7.2,7.2,,274.38,4,4,133 min,23.0,43.0
tt0120755,mission: impossible ii,2000,298495.0,6.1,5.9,,,,4,3,123 min,12.0,20.0
tt1515091,sherlock holmes: a game of shadows,2011,401908.0,7.5,4.8,6.0,,186.83,4,5,129 min,3.0,11.0
tt3385516,x-men: apocalypse,2016,371728.0,6.9,5.2,4.7,,135.73,4,3,144 min,1.0,19.0
tt0065234,z,1969,22007.0,8.3,,9.3,,,4,4,127 min,10.0,12.0
tt0080684,star wars: episode v - the empire strikes back,1980,1093527.0,8.7,8.2,9.4,,4.55,4,4,124 min,24.0,19.0
tt0103064,terminator 2: judgment day,1991,938871.0,8.5,7.5,9.3,,198.12,4,2,137 min,31.0,33.0
tt2709692,dr. seuss' the grinch,2018,36198.0,6.3,5.1,5.9,,,4,3,85 min,0,15.0
tt0099653,ghost,1990,184218.0,7.0,5.2,7.4,,,4,4,127 min,16.0,23.0
tt0073343,the dragon flies,1975,968.0,6.6,,10.0,,,4,3,111 min,1.0,0
tt0100758,teenage mutant ninja turtles,1990,80252.0,6.8,5.1,4.0,,,4,5,93 min,3.0,3.0
tt0089013,demons,1985,18416.0,6.7,,6.0,,,4,1,88 min,0,2.0
tt0099785,home alone,1990,437689.0,7.6,6.3,6.5,,,4,2,103 min,10.0,4.0
tt2510894,hotel transylvania 2,2015,97099.0,6.7,4.4,5.6,,,4,5,89 min,1.0,10.0
tt2126355,san andreas,2015,198477.0,6.0,4.3,5.0,,127.67,4,4,114 min,2.0,10.0
tt0097576,indiana jones and the last crusade,1989,654190.0,8.2,6.5,8.8,,,4,2,127 min,7.0,22.0
tt1490017,the lego movie,2014,310633.0,7.8,8.3,9.6,,244.87,4,6,100 min,73.0,62.0
tt0100405,pretty woman,1990,268750.0,7.0,5.1,6.2,,,4,2,119 min,8.0,10.0
tt0376994,x-men: the last stand,2006,462918.0,6.7,5.8,5.7,,234.3,4,2,104 min,7.0,37.0
tt0465234,national treasure: book of secrets,2007,209227.0,6.5,4.8,3.6,,219.93,4,4,124 min,1.0,5.0
tt0416449,300,2006,704212.0,7.7,5.2,6.0,,210.5,4,4,117 min,17.0,45.0
tt3783958,la la land,2016,459776.0,8.0,9.3,9.1,,151.06,4,5,128 min,235.0,276.0
tt0060315,django,1966,22970.0,7.2,7.5,9.2,,0.03,4,2,91 min,0,0
tt0061005,she beast,1966,739.0,4.5,,8.3,,,4,2,79 min,0,0
tt0072752,the beast,1975,3969.0,5.8,,6.5,,,4,4,98 min,0,0
tt0499448,the chronicles of narnia: prince caspian,2008,183829.0,6.5,6.2,6.6,,141.61,4,4,150 min,2.0,20.0
tt0980970,the chronicles of narnia: the voyage of the dawn treader,2010,133317.0,6.3,5.3,5.0,,104.38,4,3,113 min,1.0,17.0
tt2802144,kingsman: the secret service,2014,561032.0,7.7,6.0,7.4,,119.47,4,4,129 min,8.0,27.0
tt4649466,kingsman: the golden circle,2017,245068.0,6.7,4.4,5.2,,99.73,4,3,141 min,2.0,7.0
tt0053085,the mummy,1959,7299.0,6.8,,8.9,,,4,2,88 min,0,1.0
tt0290334,x2: x-men united,2003,490966.0,7.4,6.8,8.5,,214.81,4,3,134 min,6.0,41.0
tt0086896,angel,1984,2286.0,5.6,,,,,4,3,94 min,1.0,0
tt1104001,tron: legacy,2010,301242.0,6.8,4.9,5.1,,172.05,4,3,125 min,10.0,49.0
tt0317919,mission: impossible iii,2006,314586.0,6.9,6.6,7.0,,133.4,4,3,126 min,7.0,14.0
tt3778644,solo: a star wars story,2018,255744.0,6.9,6.2,7.0,,,4,3,135 min,4.0,22.0
tt1628841,independence day: resurgence,2016,159229.0,5.2,3.2,2.9,,103.14,4,3,120 min,3.0,16.0
tt0102798,robin hood: prince of thieves,1991,169610.0,6.9,5.1,5.1,,,4,4,143 min,16.0,22.0
tt0082971,raiders of the lost ark,1981,836565.0,8.4,8.5,9.5,,,4,2,115 min,31.0,24.0
