,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound,title,year
0,N,W,W,O,W,W,N,N,W,O,WN,W,O,N,gone with the wind,1939
1,O,N,O,O,O,O,O,N,N,O,O,O,O,O,dark victory,1939
2,W,N,O,O,N,N,O,O,N,O,O,N,O,N,"goodbye, mr. chips",1939
3,O,N,O,O,O,O,O,O,N,O,N,O,N,O,love affair,1939
4,N,O,O,O,N,N,O,N,N,N,O,N,O,N,mr. smith goes to washington,1939
5,O,N,O,O,O,O,O,O,N,O,O,N,O,O,ninotchka,1939
6,O,O,O,O,O,O,O,N,N,O,O,O,O,N,of mice and men,1939
7,O,O,N,O,N,N,O,W,N,W,O,O,O,O,stagecoach,1939
8,O,O,O,O,O,O,N,W,N,O,O,O,W,O,the wizard of oz,1939
9,N,O,W,O,N,O,O,N,N,O,N,N,O,O,wuthering heights,1939
10,N,O,O,O,O,O,O,N,O,O,O,O,O,O,babes in arms,1939
11,O,O,O,O,O,O,O,O,O,N,O,O,O,O,juarez,1939
12,O,O,O,O,O,O,O,O,O,N,O,O,O,O,beau geste,1939
13,O,O,O,O,O,O,O,O,O,O,N,O,O,O,drums along the mohawk,1939
14,O,O,O,O,O,O,O,N,O,O,O,O,O,O,first love,1939
15,O,O,O,O,O,O,O,N,O,O,O,O,O,N,the great victor herbert,1939
16,O,O,O,O,O,O,O,N,O,O,O,O,O,N,the hunchback of notre dame,1939
17,O,O,O,O,O,O,O,N,O,O,O,O,O,O,intermezzo,1939
18,O,O,N,O,O,O,N,N,O,O,O,O,O,N,the private lives of elizabeth and essex,1939
19,O,O,O,O,O,O,O,N,O,O,O,O,O,O,she married a cop,1939
20,O,O,O,O,O,O,O,N,O,O,O,O,O,O,swanee river,1939
21,O,O,O,O,O,O,O,N,O,O,O,O,O,O,they shall have music,1939
22,O,O,O,O,O,O,O,N,O,O,O,O,O,O,way down south,1939
23,O,O,O,O,O,O,O,N,O,O,O,O,O,O,eternally yours,1939
24,O,O,O,O,O,O,O,N,O,O,O,O,O,O,golden boy,1939
