,title,year,imdbID,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound
0,the 3rd voice,1960,tt0054380,O,O,O,O,O,O,O,O,O,O,O,O,O,O
1,5 branded women,1960,tt0053561,O,O,O,O,O,O,O,O,O,O,O,O,O,O
2,12 to the moon,1960,tt0054415,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3,13 fighting men,1960,tt0053558,O,O,O,O,O,O,O,O,O,O,O,O,O,O
4,13 ghosts,1960,tt0053559,O,O,O,O,O,O,O,O,O,O,O,O,O,O
5,the adventures of huckleberry finn,1960,tt0053571,O,O,O,O,O,O,O,O,O,O,O,O,O,O
6,the alamo,1960,tt0053580,O,O,N,O,O,N,O,N,N,N,O,O,N,W
7,all the fine young cannibals,1960,tt0053582,O,O,O,O,O,O,O,O,O,O,O,O,O,O
8,all the young men,1960,tt0053583,O,O,O,O,O,O,O,O,O,O,O,O,O,O
9,the amazing transparent man,1960,tt0053593,O,O,O,O,O,O,O,O,O,O,O,O,O,O
10,the angel wore red,1960,tt0053601,O,O,O,O,O,O,O,O,O,O,O,O,O,O
11,the apartment,1960,tt0053604,N,N,N,O,W,W,O,O,W,N,O,O,O,N
12,butterfield 8,1960,tt0053622,O,W,N,O,O,O,O,O,O,O,O,O,O,O
13,because they're young,1960,tt0053641,O,O,O,O,O,O,O,O,O,O,O,O,O,O
14,the bellboy,1960,tt0053644,O,O,O,O,O,O,O,O,O,O,O,O,O,O
15,bells are ringing,1960,tt0053645,O,O,O,O,O,O,O,N,O,O,O,O,O,O
16,beyond the time barrier,1960,tt0053651,O,O,O,O,O,O,O,O,O,O,O,O,O,O
17,the big night,1960,tt0053654,O,O,O,O,O,O,O,O,O,O,O,O,O,O
18,the boy and the pirates,1960,tt0053672,O,O,O,O,O,O,O,O,O,O,O,O,O,O
19,the bramble bush,1960,tt0053673,O,O,O,O,O,O,O,O,O,O,O,O,O,O
20,a breath of scandal,1960,tt0053675,O,O,O,O,O,O,O,O,O,O,O,O,O,O
21,cage of evil,1960,tt0053689,O,O,O,O,O,O,O,O,O,O,O,O,O,O
22,can-can,1960,tt0053690,O,O,O,N,O,O,O,N,O,O,O,O,O,O
23,the cape canaveral monsters,1960,tt0053692,O,O,O,O,O,O,O,O,O,O,O,O,O,O
24,cash mccall,1960,tt0052680,O,O,O,O,O,O,O,O,O,O,O,O,O,O
25,chartroose caboose,1960,tt0053705,O,O,O,O,O,O,O,O,O,O,O,O,O,O
26,cimarron,1960,tt0053715,O,O,O,O,O,O,O,O,O,O,O,O,O,N
27,cinderfella,1960,tt0053716,O,O,O,O,O,O,O,O,O,O,O,O,O,O
28,college confidential,1960,tt0053727,O,O,O,O,O,O,O,O,O,O,O,O,O,O
29,comanche station,1960,tt0053729,O,O,O,O,O,O,O,O,O,O,O,O,O,O
30,crack in the mirror,1960,tt0053735,O,O,O,O,O,O,O,O,O,O,O,O,O,O
31,the crowded sky,1960,tt0053742,O,O,O,O,O,O,O,O,O,O,O,O,O,O
32,the dark at the top of the stairs,1960,tt0053750,O,O,O,O,O,O,O,O,O,O,N,O,O,O
33,desire in the dust,1960,tt0053762,O,O,O,O,O,O,O,O,O,O,O,O,O,O
34,dinosaurus!,1960,tt0053768,O,O,O,O,O,O,O,O,O,O,O,O,O,O
35,elmer gantry,1960,tt0053793,W,O,O,O,O,O,O,N,N,O,W,W,O,O
36,esther and the king,1960,tt0053800,O,O,O,O,O,O,O,O,O,O,O,O,O,O
37,exodus,1960,tt0053804,O,O,N,O,O,O,O,W,O,N,O,O,O,O
38,the facts of life,1960,tt0053810,O,O,N,W,O,O,O,O,O,O,O,O,N,O
39,five guns to tombstone,1960,tt0054878,O,O,O,O,O,O,O,O,O,O,O,O,O,O
40,flaming star,1960,tt0053825,O,O,O,O,O,O,O,O,O,O,O,O,O,O
41,four fast guns,1960,tt0052819,O,O,O,O,O,O,O,O,O,O,O,O,O,O
42,freckles,1960,tt0053837,O,O,O,O,O,O,O,O,O,O,O,O,O,O
43,from the terrace,1960,tt0053841,O,O,O,O,O,O,O,O,O,O,O,O,O,O
44,g.i. blues,1960,tt0053848,O,O,O,O,O,O,O,O,O,O,O,O,O,O
45,the gallant hours,1960,tt0053849,O,O,O,O,O,O,O,O,O,O,O,O,O,O
46,girl of the night,1960,tt0053865,O,O,O,O,O,O,O,O,O,O,O,O,O,O
47,the grass is greener,1960,tt0053877,O,O,O,O,O,O,O,O,O,O,O,O,O,O
48,guns of the timberland,1960,tt0053884,O,O,O,O,O,O,O,O,O,O,O,O,O,O
49,hell bent for leather,1960,tt0053899,O,O,O,O,O,O,O,O,O,O,O,O,O,O
50,hell to eternity,1960,tt0053901,O,O,O,O,O,O,O,O,O,O,O,O,O,O
51,heller in pink tights,1960,tt0053902,O,O,O,O,O,O,O,O,O,O,O,O,O,O
52,high time,1960,tt0053912,O,O,O,O,O,O,O,O,O,O,O,O,N,O
53,home from the hill,1960,tt0053917,O,O,O,O,O,O,O,O,O,O,O,O,O,O
54,the horse with the flying tail,1960,tt0054993,O,O,O,O,O,O,O,O,O,O,O,O,O,O
55,house of usher,1960,tt0053925,O,O,O,O,O,O,O,O,O,O,O,O,O,O
56,hyde and go tweet,1960,tt0053930,O,O,O,O,O,O,O,O,O,O,O,O,O,O
57,the hypnotic eye,1960,tt0053931,O,O,O,O,O,O,O,O,O,O,O,O,O,O
58,i aim at the stars,1960,tt0053440,O,O,O,O,O,O,O,O,O,O,O,O,O,O
59,ice palace,1960,tt0053936,O,O,O,O,O,O,O,O,O,O,O,O,O,O
60,i'll give my life,1960,tt0055001,O,O,O,O,O,O,O,O,O,O,O,O,O,O
61,inherit the wind,1960,tt0053946,N,O,N,O,O,N,O,O,O,O,O,N,O,O
62,it started in naples,1960,tt0053957,O,O,O,O,O,O,O,O,O,O,O,O,O,O
63,key witness,1960,tt0053993,O,O,O,O,O,O,O,O,O,O,O,O,O,O
64,the last voyage,1960,tt0054016,O,O,O,O,O,O,N,O,O,O,O,O,O,O
65,last woman on earth,1960,tt0054017,O,O,O,O,O,O,O,O,O,O,O,O,O,O
66,the leech woman,1960,tt0054020,O,O,O,O,O,O,O,O,O,O,O,O,O,O
67,let's make love,1960,tt0054022,O,O,O,O,O,O,O,N,O,O,O,O,O,O
68,let no man write my epitaph,1960,tt0054021,O,O,O,O,O,O,O,O,O,O,O,O,O,O
69,the little shop of horrors,1960,tt0054033,O,O,O,O,O,O,O,O,O,O,O,O,O,O
70,the lost world,1960,tt0054038,O,O,O,O,O,O,O,O,O,O,O,O,O,O
71,macumba love,1960,tt0054045,O,O,O,O,O,O,O,O,O,O,O,O,O,O
72,the magnificent seven,1960,tt0054047,O,O,O,O,O,O,O,N,O,O,O,O,O,O
73,man on a string,1960,tt0054058,O,O,O,O,O,O,O,O,O,O,O,O,O,O
74,mice follies,1960,tt0054082,O,O,O,O,O,O,O,O,O,O,O,O,O,O
75,midnight lace,1960,tt0054084,O,O,O,N,O,O,O,O,O,O,O,O,O,O
76,the mountain road,1960,tt0054095,O,O,O,O,O,O,O,O,O,O,O,O,O,O
77,"murder, inc.",1960,tt0054102,O,O,O,O,O,O,O,O,O,N,O,O,O,O
78,the music box kid,1960,tt0054103,O,O,O,O,O,O,O,O,O,O,O,O,O,O
79,never on sunday,1960,tt0054198,O,N,O,N,N,O,O,O,O,O,O,O,W,O
80,noose for a gunman,1960,tt0054126,O,O,O,O,O,O,O,O,O,O,O,O,O,O
81,north to alaska,1960,tt0054127,O,O,O,O,O,O,O,O,O,O,O,O,O,O
82,ocean's 11,1960,tt0054135,O,O,O,O,O,O,O,O,O,O,O,O,O,O
83,oklahoma territory,1960,tt0054138,O,O,O,O,O,O,O,O,O,O,O,O,O,O
84,"once more, with feeling!",1960,tt0054141,O,O,O,O,O,O,O,O,O,O,O,O,O,O
85,one foot in hell,1960,tt0054142,O,O,O,O,O,O,O,O,O,O,O,O,O,O
86,pay or die,1960,tt0054164,O,O,O,O,O,O,O,O,O,O,O,O,O,O
87,pepe,1960,tt0054172,O,O,N,N,O,N,O,N,O,O,O,O,N,N
88,platinum high school,1960,tt0054187,O,O,O,O,O,O,O,O,O,O,O,O,O,O
89,please don't eat the daisies,1960,tt0054188,O,O,O,O,O,O,O,O,O,O,O,O,O,O
90,the plunderers,1960,tt0054190,O,O,O,O,O,O,O,O,O,O,O,O,O,O
91,pollyanna,1960,tt0054195,O,O,O,O,O,O,O,O,O,O,O,O,O,O
92,portrait in black,1960,tt0054197,O,O,O,O,O,O,O,O,O,O,O,O,O,O
93,pretty boy floyd,1960,tt0054204,O,O,O,O,O,O,O,O,O,O,O,O,O,O
94,the private lives of adam and eve,1960,tt0055328,O,O,O,O,O,O,O,O,O,O,O,O,O,O
95,private property,1960,tt0054209,O,O,O,O,O,O,O,O,O,O,O,O,O,O
96,psycho,1960,tt0054215,O,O,N,O,N,O,O,O,O,O,N,O,O,O
97,the pusher,1960,tt0054219,O,O,O,O,O,O,O,O,O,O,O,O,O,O
98,the rat race,1960,tt0054230,O,O,O,O,O,O,O,O,O,O,O,O,O,O
99,raymie,1960,tt0054232,O,O,O,O,O,O,O,O,O,O,O,O,O,O
100,the rise and fall of legs diamond,1960,tt0054243,O,O,O,N,O,O,O,O,O,O,O,O,O,O
101,the savage innocents,1960,tt0053244,O,O,O,O,O,O,O,O,O,O,O,O,O,O
102,scent of mystery,1960,tt0054271,O,O,O,O,O,O,O,O,O,O,O,O,O,O
103,the secret of the purple reef,1960,tt0054283,O,O,O,O,O,O,O,O,O,O,O,O,O,O
104,september storm,1960,tt0054290,O,O,O,O,O,O,O,O,O,O,O,O,O,O
105,sergeant rutledge,1960,tt0054292,O,O,O,O,O,O,O,O,O,O,O,O,O,O
106,seven thieves,1960,tt0054295,O,O,O,N,O,O,O,O,O,O,O,O,O,O
107,seven ways from sundown,1960,tt0054296,O,O,O,O,O,O,O,O,O,O,O,O,O,O
108,sex kittens go to college,1960,tt0054298,O,O,O,O,O,O,O,O,O,O,O,O,O,O
109,song without end,1960,tt0054324,O,O,O,O,O,O,O,W,O,O,O,O,O,O
110,spartacus,1960,tt0054331,O,O,W,W,O,N,O,N,O,W,O,O,O,O
111,squad car,1960,tt0055472,O,O,O,O,O,O,O,O,O,O,O,O,O,O
112,the story of ruth,1960,tt0054343,O,O,O,O,O,O,O,O,O,O,O,O,O,O
113,strangers when we meet,1960,tt0054345,O,O,O,O,O,O,O,O,O,O,O,O,O,O
114,studs lonigan,1960,tt0054348,O,O,O,O,O,O,O,O,O,O,O,O,O,O
115,the subterraneans,1960,tt0054351,O,O,O,O,O,O,O,O,O,O,O,O,O,O
116,the sundowners,1960,tt0054353,O,N,O,O,N,O,O,O,N,O,N,N,O,O
117,sunrise at campobello,1960,tt0054354,O,N,O,N,O,O,O,O,O,O,O,O,O,N
118,surprise package,1960,tt0054355,O,O,O,O,O,O,O,O,O,O,O,O,O,O
119,swiss family robinson,1960,tt0054357,O,O,O,O,O,O,O,O,O,O,O,O,O,O
120,tall story,1960,tt0054367,O,O,O,O,O,O,O,O,O,O,O,O,O,O
121,tarzan the magnificent,1960,tt0054368,O,O,O,O,O,O,O,O,O,O,O,O,O,O
122,tess of the storm country,1960,tt0054376,O,O,O,O,O,O,O,O,O,O,O,O,O,O
123,this rebel breed,1960,tt0054381,O,O,O,O,O,O,O,O,O,O,O,O,O,O
124,the threat,1960,tt0054383,O,O,O,O,O,O,O,O,O,O,O,O,O,O
125,thunder in carolina,1960,tt0054385,O,O,O,O,O,O,O,O,O,O,O,O,O,O
126,the time machine,1960,tt0054387,O,O,O,O,O,O,W,O,O,O,O,O,O,O
127,three came to kill,1960,tt0053357,O,O,O,O,O,O,O,O,O,O,O,O,O,O
128,toby tyler,1960,tt0054390,O,O,O,O,O,O,O,O,O,O,O,O,O,O
129,tormented,1960,tt0054393,O,O,O,O,O,O,O,O,O,O,O,O,O,O
130,twelve hours to kill,1960,tt0053557,O,O,O,O,O,O,O,O,O,O,O,O,O,O
131,the unforgiven,1960,tt0054428,O,O,O,O,O,O,O,O,O,O,O,O,O,O
132,valley of the redwoods,1960,tt0054435,O,O,O,O,O,O,O,O,O,O,O,O,O,O
133,visit to a small planet,1960,tt0054446,O,O,O,O,O,O,O,O,O,O,O,O,O,O
134,the wackiest ship in the army,1960,tt0054453,O,O,O,O,O,O,O,O,O,O,O,O,O,O
135,wake me when it's over,1960,tt0054455,O,O,O,O,O,O,O,O,O,O,O,O,O,O
136,walk like a dragon,1960,tt0054457,O,O,O,O,O,O,O,O,O,O,O,O,O,O
137,walk tall,1960,tt0054458,O,O,O,O,O,O,O,O,O,O,O,O,O,O
138,the walking target,1960,tt0054459,O,O,O,O,O,O,O,O,O,O,O,O,O,O
139,where the boys are,1960,tt0054469,O,O,O,O,O,O,O,O,O,O,O,O,O,O
140,who was that lady?,1960,tt0054473,O,O,O,O,O,O,O,O,O,O,O,O,O,O
141,why must i die?,1960,tt0054474,O,O,O,O,O,O,O,O,O,O,O,O,O,O
142,the wild ride,1960,tt0054475,O,O,O,O,O,O,O,O,O,O,O,O,O,O
143,wild river,1960,tt0054476,O,O,O,O,O,O,O,O,O,O,O,O,O,O
144,the world of suzie wong,1960,tt0054483,O,O,O,O,O,O,O,O,O,O,O,O,O,O
145,young jesse james,1960,tt0054489,O,O,O,O,O,O,O,O,O,O,O,O,O,O
146,the young one,1960,tt0053967,O,O,O,O,O,O,O,O,O,O,O,O,O,O
147,and the same to you,1960,tt0166983,O,O,O,O,O,O,O,O,O,O,O,O,O,O
148,the angry silence,1960,tt0053602,O,O,O,O,O,O,O,O,O,O,O,O,O,O
149,bottoms up,1960,tt0053668,O,O,O,O,O,O,O,O,O,O,O,O,O,O
