,title,year,imdbID,win,nom
0,the 3rd voice,1960,tt0054380,0,0
1,5 branded women,1960,tt0053561,0,0
2,12 to the moon,1960,tt0054415,0,0
3,13 fighting men,1960,tt0053558,0,0
4,13 ghosts,1960,tt0053559,0,0
5,the adventures of huckleberry finn,1960,tt0053571,0,0
6,the alamo,1960,tt0053580,0,2
7,all the fine young cannibals,1960,tt0053582,0,0
8,all the young men,1960,tt0053583,0,0
9,the amazing transparent man,1960,tt0053593,0,0
10,the angel wore red,1960,tt0053601,0,0
11,the apartment,1960,tt0053604,2,5
12,butterfield 8,1960,tt0053622,1,1
13,because they're young,1960,tt0053641,0,0
14,the bellboy,1960,tt0053644,0,0
15,bells are ringing,1960,tt0053645,0,0
16,beyond the time barrier,1960,tt0053651,0,0
17,the big night,1960,tt0053654,0,0
18,the boy and the pirates,1960,tt0053672,0,0
19,the bramble bush,1960,tt0053673,0,0
20,a breath of scandal,1960,tt0053675,0,0
21,cage of evil,1960,tt0053689,0,0
22,can-can,1960,tt0053690,0,0
23,the cape canaveral monsters,1960,tt0053692,0,0
24,cash mccall,1960,tt0052680,0,0
25,chartroose caboose,1960,tt0053705,0,0
26,cimarron,1960,tt0053715,0,0
27,cinderfella,1960,tt0053716,0,0
29,college confidential,1960,tt0053727,0,0
30,comanche station,1960,tt0053729,0,0
31,crack in the mirror,1960,tt0053735,0,0
32,the crowded sky,1960,tt0053742,0,0
33,the dark at the top of the stairs,1960,tt0053750,0,1
34,desire in the dust,1960,tt0053762,0,0
35,dinosaurus!,1960,tt0053768,0,0
36,elmer gantry,1960,tt0053793,3,4
37,esther and the king,1960,tt0053800,0,0
38,exodus,1960,tt0053804,0,1
39,the facts of life,1960,tt0053810,0,0
40,five guns to tombstone,1960,tt0054878,0,0
41,flaming star,1960,tt0053825,0,0
42,four fast guns,1960,tt0052819,0,0
43,freckles,1960,tt0053837,0,0
44,from the terrace,1960,tt0053841,0,0
45,g.i. blues,1960,tt0053848,0,0
46,the gallant hours,1960,tt0053849,0,0
47,girl of the night,1960,tt0053865,0,0
48,the grass is greener,1960,tt0053877,0,0
50,guns of the timberland,1960,tt0053884,0,0
51,hell bent for leather,1960,tt0053899,0,0
52,hell to eternity,1960,tt0053901,0,0
53,heller in pink tights,1960,tt0053902,0,0
55,high time,1960,tt0053912,0,0
56,home from the hill,1960,tt0053917,0,0
57,the horse with the flying tail,1960,tt0054993,0,0
58,house of usher,1960,tt0053925,0,0
59,hyde and go tweet,1960,tt0053930,0,0
60,the hypnotic eye,1960,tt0053931,0,0
61,i aim at the stars,1960,tt0053440,0,0
62,ice palace,1960,tt0053936,0,0
63,i'll give my life,1960,tt0055001,0,0
64,inherit the wind,1960,tt0053946,0,2
65,it started in naples,1960,tt0053957,0,0
66,key witness,1960,tt0053993,0,0
67,the last voyage,1960,tt0054016,0,0
68,last woman on earth,1960,tt0054017,0,0
69,the leech woman,1960,tt0054020,0,0
70,let's make love,1960,tt0054022,0,0
71,let no man write my epitaph,1960,tt0054021,0,0
72,the little shop of horrors,1960,tt0054033,0,0
73,the lost world,1960,tt0054038,0,0
74,macumba love,1960,tt0054045,0,0
75,the magnificent seven,1960,tt0054047,0,0
77,man on a string,1960,tt0054058,0,0
78,mice follies,1960,tt0054082,0,0
79,midnight lace,1960,tt0054084,0,0
81,the mountain road,1960,tt0054095,0,0
82,"murder, inc.",1960,tt0054102,0,1
83,the music box kid,1960,tt0054103,0,0
84,never on sunday,1960,tt0054198,0,2
85,noose for a gunman,1960,tt0054126,0,0
86,north to alaska,1960,tt0054127,0,0
87,ocean's 11,1960,tt0054135,0,0
88,oklahoma territory,1960,tt0054138,0,0
89,"once more, with feeling!",1960,tt0054141,0,0
90,one foot in hell,1960,tt0054142,0,0
91,pay or die,1960,tt0054164,0,0
92,pepe,1960,tt0054172,0,0
93,platinum high school,1960,tt0054187,0,0
94,please don't eat the daisies,1960,tt0054188,0,0
95,the plunderers,1960,tt0054190,0,0
96,pollyanna,1960,tt0054195,0,0
97,portrait in black,1960,tt0054197,0,0
98,pretty boy floyd,1960,tt0054204,0,0
99,the private lives of adam and eve,1960,tt0055328,0,0
100,private property,1960,tt0054209,0,0
102,psycho,1960,tt0054215,0,2
103,the pusher,1960,tt0054219,0,0
104,the rat race,1960,tt0054230,0,0
105,raymie,1960,tt0054232,0,0
106,the rise and fall of legs diamond,1960,tt0054243,0,0
107,the savage innocents,1960,tt0053244,0,0
108,scent of mystery,1960,tt0054271,0,0
109,the secret of the purple reef,1960,tt0054283,0,0
110,september storm,1960,tt0054290,0,0
111,sergeant rutledge,1960,tt0054292,0,0
112,seven thieves,1960,tt0054295,0,0
113,seven ways from sundown,1960,tt0054296,0,0
114,sex kittens go to college,1960,tt0054298,0,0
115,song without end,1960,tt0054324,0,0
116,spartacus,1960,tt0054331,1,1
117,squad car,1960,tt0055472,0,0
119,the story of ruth,1960,tt0054343,0,0
120,strangers when we meet,1960,tt0054345,0,0
121,studs lonigan,1960,tt0054348,0,0
122,the subterraneans,1960,tt0054351,0,0
124,the sundowners,1960,tt0054353,0,5
125,sunrise at campobello,1960,tt0054354,0,1
126,surprise package,1960,tt0054355,0,0
127,swiss family robinson,1960,tt0054357,0,0
128,tall story,1960,tt0054367,0,0
129,tarzan the magnificent,1960,tt0054368,0,0
131,tess of the storm country,1960,tt0054376,0,0
132,this rebel breed,1960,tt0054381,0,0
133,the threat,1960,tt0054383,0,0
136,thunder in carolina,1960,tt0054385,0,0
137,the time machine,1960,tt0054387,0,0
138,three came to kill,1960,tt0053357,0,0
139,toby tyler,1960,tt0054390,0,0
141,tormented,1960,tt0054393,0,0
142,twelve hours to kill,1960,tt0053557,0,0
143,the unforgiven,1960,tt0054428,0,0
144,valley of the redwoods,1960,tt0054435,0,0
146,visit to a small planet,1960,tt0054446,0,0
147,the wackiest ship in the army,1960,tt0054453,0,0
148,wake me when it's over,1960,tt0054455,0,0
149,walk like a dragon,1960,tt0054457,0,0
150,walk tall,1960,tt0054458,0,0
151,the walking target,1960,tt0054459,0,0
154,where the boys are,1960,tt0054469,0,0
155,who was that lady?,1960,tt0054473,0,0
156,why must i die?,1960,tt0054474,0,0
157,the wild ride,1960,tt0054475,0,0
158,wild river,1960,tt0054476,0,0
159,the world of suzie wong,1960,tt0054483,0,0
160,young jesse james,1960,tt0054489,0,0
161,the young one,1960,tt0053967,0,0
162,and the same to you,1960,tt0166983,0,0
163,the angry silence,1960,tt0053602,0,0
166,bottoms up,1960,tt0053668,0,0
167,the boy who stole a million,1960,tt0054696,0,0
168,the brides of dracula,1960,tt0053677,0,0
169,the bulldog breed,1960,tt0053683,0,0
170,carry on constable,1960,tt0053699,0,0
172,circus of horrors,1960,tt0053717,0,0
173,the city of the dead,1960,tt0053719,0,0
175,conspiracy of hearts,1960,tt0053732,0,0
177,crossroads to crime,1960,tt0195618,0,0
178,the day they robbed the bank of england,1960,tt0053752,0,0
179,dead lucky,1960,tt0124344,0,0
180,dentist in the chair,1960,tt0053759,0,0
181,depth charge,1960,tt0204995,0,0
182,doctor in love,1960,tt0053775,0,0
183,the entertainer,1960,tt0053796,0,1
184,escort for hire,1960,tt0053799,0,0
185,faces in the dark,1960,tt0053809,0,0
187,the flesh and the fiends,1960,tt0052811,0,0
188,follow that horse!,1960,tt0199533,0,0
189,foxhole in cairo,1960,tt0054891,0,0
190,a french mistress,1960,tt0053839,0,0
192,the gentle trap,1960,tt0053857,0,0
193,the hand,1960,tt0053890,0,0
195,the hands of orlac,1960,tt0054963,0,0
196,hell is a city,1960,tt0053900,0,0
198,the house in marsh road,1960,tt0053952,0,0
199,identity unknown,1960,tt0053938,0,0
200,in the nick,1960,tt0053943,0,0
201,inn for trouble,1960,tt0053947,0,0
204,jazz boat,1960,tt0053963,0,0
205,kidnapped,1960,tt0053994,0,0
206,the league of gentlemen,1960,tt0052997,0,0
207,let's get married,1960,tt0195876,0,0
209,life is a circus,1960,tt0051863,0,0
212,make mine mink,1960,tt0054049,0,0
213,man in the moon,1960,tt0055133,0,0
215,the man who was nobody,1960,tt7052018,0,0
216,the millionairess,1960,tt0054086,0,0
217,never let go,1960,tt0054115,0,0
218,never take sweets from a stranger,1960,tt0054116,0,0
219,night train for inverness,1960,tt0054121,0,0
221,operation cupid,1960,tt0199910,0,0
222,oscar wilde,1960,tt0053149,0,0
223,peeping tom,1960,tt0054167,0,0
224,piccadilly third stop,1960,tt0054181,0,0
225,the pure hell of st trinian's,1960,tt0055342,0,0
227,sands of the desert,1960,tt0054266,0,0
228,saturday night and sunday morning,1960,tt0054269,0,0
229,school for scoundrels,1960,tt0054279,0,0
230,sink the bismarck!,1960,tt0054310,0,0
231,sons and lovers,1960,tt0054326,0,5
232,the spider's web,1960,tt0339716,0,0
235,sword of sherwood forest,1960,tt0054358,0,0
236,the tell-tale heart,1960,tt0056565,0,0
237,there was a crooked man,1960,tt0054379,0,0
238,too young to love,1960,tt0053366,0,0
240,the trials of oscar wilde,1960,tt0054403,0,0
241,trouble with eve,1960,tt0054408,0,0
242,tunes of glory,1960,tt0054412,0,1
