,year,name,category,result
0,1940,Victor Fleming,director,W
1,1940,Sam Wood,director,N
2,1940,Frank Capra,director,N
3,1940,John Ford,director,N
4,1940,William Wyler,director,N
5,1940,Robert Donat,actor,W
6,1940,Clark Gable,actor,N
7,1940,Laurence Olivier,actor,N
8,1940,Mickey Rooney,actor,N
9,1940,James Stewart,actor,N
10,1940,Vivien Leigh,actress,W
11,1940,Bette Davis,actress,N
12,1940,Irene Dunne,actress,N
13,1940,Greta Garbo,actress,N
14,1940,Greer Garson,actress,N
15,1940,Thomas Mitchell,s_actor,W
16,1940,Brian Aherne,s_actor,N
17,1940,Harry Carey,s_actor,N
18,1940,Brian Donlevy,s_actor,N
19,1940,Claude Rains,s_actor,N
20,1940,Hattie McDaniel,s_actress,W
21,1940,Olivia de Havilland,s_actress,N
22,1940,Geraldine Fitzgerald,s_actress,N
23,1940,Edna May Oliver,s_actress,N
24,1940,Maria Ouspenskaya,s_actress,N
25,1940,Sidney Howard,screenplay,W
26,1940,Eric Maschwitz,screenplay,N
27,1940,Sidney Buchman,screenplay,N
28,1940,Charles Brackett,screenplay,N
29,1940,Ben Hecht,screenplay,N
30,1940,Richard Hageman,music,W
31,1940,Roger Edens,music,N
32,1940,Charles Previn,music,N
33,1940,Phil Boutelje,music,N
34,1940,Alfred Newman,music,N
35,1941,John Ford,director,W
36,1941,Sam Wood,director,N
37,1941,William Wyler,director,N
38,1941,George Cukor,director,N
39,1941,Alfred Hitchcock,director,N
40,1941,James Stewart,actor,W
41,1941,Charlie Chaplin,actor,N
42,1941,Henry Fonda,actor,N
43,1941,Raymond Massey,actor,N
44,1941,Laurence Olivier,actor,N
45,1941,Ginger Rogers,actress,W
46,1941,Bette Davis,actress,N
47,1941,Joan Fontaine,actress,N
48,1941,Katharine Hepburn,actress,N
49,1941,Martha Scott,actress,N
50,1941,Walter Brennan,s_actor,W
51,1941,Albert Bassermann,s_actor,N
52,1941,William Gargan,s_actor,N
53,1941,Jack Oakie,s_actor,N
54,1941,James Stephenson,s_actor,N
55,1941,Jane Darwell,s_actress,W
56,1941,Judith Anderson,s_actress,N
57,1941,Ruth Hussey,s_actress,N
58,1941,Barbara O'Neil,s_actress,N
59,1941,Marjorie Rambeau,s_actress,N
60,1941,Preston Sturges,screenplay,W
61,1941,Ben Hecht,screenplay,N
62,1941,John Huston,screenplay,N
63,1941,Charles Bennett,screenplay,N
64,1941,Charlie Chaplin,screenplay,N
65,1941,Donald Ogden Stewart,screenplay,W
66,1941,Nunnally Johnson,screenplay,N
67,1941,Dalton Trumbo,screenplay,N
68,1941,Dudley Nichols,screenplay,N
69,1941,Robert E. Sherwood,screenplay,N
70,1941,Leigh Harline,music,W
71,1941,Victor Young,music,N
72,1942,John Ford,director,W
73,1942,Orson Welles,director,N
74,1942,Alexander Hall,director,N
75,1942,William Wyler,director,N
