,imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms,opening_weekend,gross_box_office,precount_wins,precount_noms,win,nom,action,animation,news,reality-tv,sci-fi,family,adventure,crime,film-noir,short,biography,history,western,fantasy,musical,romance,talk-show,sport,comedy,horror,drama,mystery,documentary,war,game-show,thriller,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound
0,tt0054380,the 3rd voice,1960,98.0,7.1,7.1,7.1,,,4.0,3.0,79.0,0.0,0.0,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,O,O,O,O,O,O,O,O,O,O,O,O,O,O
1,tt0053561,5 branded women,1960,395.0,6.7,6.7,6.7,,,4.0,2.0,115.0,0.0,0.0,,,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
2,tt0054415,12 to the moon,1960,947.0,3.1,3.1,3.1,0.15,,4.0,1.0,74.0,0.0,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
3,tt0053558,13 fighting men,1960,54.0,4.7,4.7,4.7,,,4.0,3.0,69.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
4,tt0053559,13 ghosts,1960,4873.0,6.1,5.6,3.6,,,4.0,1.0,85.0,0.0,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
5,tt0053571,the adventures of huckleberry finn,1960,1225.0,6.3,6.3,6.3,1.36,,4.0,4.0,107.0,0.0,1.0,,,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
6,tt0053580,the alamo,1960,13493.0,6.9,6.9,5.2,12.0,,4.0,5.0,162.0,6.0,8.0,,,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,O,O,N,O,O,N,O,N,N,N,O,O,N,W
7,tt0053582,all the fine young cannibals,1960,679.0,6.1,6.1,6.1,,,4.0,3.0,112.0,0.0,0.0,,,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
8,tt0053583,all the young men,1960,451.0,6.2,6.2,6.2,,,4.0,3.0,87.0,0.0,0.0,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
9,tt0053593,the amazing transparent man,1960,1946.0,3.9,3.9,4.0,0.1,,4.0,1.0,58.0,0.0,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
10,tt0053601,the angel wore red,1960,544.0,5.7,5.7,5.7,1.84,,4.0,4.0,99.0,0.0,0.0,,,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
