,imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms,opening_weekend,gross_box_office
0,tt0054380,the 3rd voice,1960,98.0,7.1,7.1,7.1,,,4.0,3.0,79.0,0.0,0.0,,
1,tt0053561,5 branded women,1960,395.0,6.7,6.7,6.7,,,4.0,2.0,115.0,0.0,0.0,,
2,tt0054415,12 to the moon,1960,947.0,3.1,3.1,3.1,0.15,,4.0,1.0,74.0,0.0,0.0,,
3,tt0053558,13 fighting men,1960,54.0,4.7,4.7,4.7,,,4.0,3.0,69.0,0.0,0.0,,
4,tt0053559,13 ghosts,1960,4873.0,6.1,5.6,3.6,,,4.0,1.0,85.0,0.0,1.0,,
5,tt0053571,the adventures of huckleberry finn,1960,1225.0,6.3,6.3,6.3,1.36,,4.0,4.0,107.0,0.0,1.0,,
6,tt0053580,the alamo,1960,13493.0,6.9,6.9,5.2,12.0,,4.0,5.0,162.0,6.0,8.0,,
7,tt0053582,all the fine young cannibals,1960,679.0,6.1,6.1,6.1,,,4.0,3.0,112.0,0.0,0.0,,
8,tt0053583,all the young men,1960,451.0,6.2,6.2,6.2,,,4.0,3.0,87.0,0.0,0.0,,
9,tt0053593,the amazing transparent man,1960,1946.0,3.9,3.9,4.0,0.1,,4.0,1.0,58.0,0.0,0.0,,
10,tt0053601,the angel wore red,1960,544.0,5.7,5.7,5.7,1.84,,4.0,4.0,99.0,0.0,0.0,,
11,tt0053604,the apartment,1960,149612.0,8.3,9.4,9.4,3.0,,4.0,3.0,125.0,19.0,8.0,,0.18
12,tt0053622,butterfield 8,1960,5096.0,6.4,6.4,4.7,2.8,,4.0,1.0,109.0,0.0,6.0,,
13,tt0053641,because they're young,1960,251.0,6.0,6.0,6.0,,,4.0,1.0,102.0,0.0,0.0,,
14,tt0053644,the bellboy,1960,3535.0,6.5,6.5,7.0,0.9,,4.0,1.0,72.0,0.0,0.0,,
15,tt0053645,bells are ringing,1960,2618.0,7.0,7.0,8.2,3.2,,4.0,3.0,126.0,1.0,4.0,,
16,tt0053651,beyond the time barrier,1960,977.0,5.3,5.3,6.0,0.12,,4.0,2.0,75.0,0.0,0.0,,
17,tt0053654,the big night,1960,27.0,5.8,5.8,5.8,,,4.0,1.0,74.0,0.0,0.0,,
18,tt0053672,the boy and the pirates,1960,275.0,5.1,5.1,5.1,,,4.0,3.0,82.0,0.0,0.0,,
19,tt0053673,the bramble bush,1960,136.0,5.6,5.6,5.6,,,4.0,1.0,93.0,0.0,0.0,,
20,tt0053675,a breath of scandal,1960,648.0,5.6,5.6,5.6,,,4.0,3.0,97.0,0.0,0.0,,
21,tt0053689,cage of evil,1960,97.0,5.4,5.4,5.4,,,4.0,2.0,70.0,0.0,0.0,,
22,tt0053690,can-can,1960,1777.0,6.4,6.4,6.4,6.0,,4.0,2.0,131.0,5.0,5.0,,
23,tt0053692,the cape canaveral monsters,1960,300.0,3.5,3.5,3.5,,,4.0,1.0,69.0,0.0,0.0,,
24,tt0052680,cash mccall,1960,1024.0,6.4,6.4,6.4,,,4.0,2.0,102.0,0.0,0.0,,
25,tt0053705,chartroose caboose,1960,33.0,6.8,6.8,6.8,,,4.0,2.0,75.0,0.0,0.0,,
26,tt0053715,cimarron,1960,2432.0,6.4,6.4,6.4,5.42,,4.0,3.0,147.0,0.0,1.0,,
27,tt0053716,cinderfella,1960,2796.0,6.0,6.0,6.0,3.0,,4.0,5.0,91.0,0.0,1.0,,
29,tt0053727,college confidential,1960,150.0,4.7,4.7,4.7,,,4.0,1.0,91.0,0.0,0.0,,
30,tt0053729,comanche station,1960,2872.0,7.0,7.0,10.0,,,4.0,2.0,73.0,0.0,0.0,,
31,tt0053735,crack in the mirror,1960,154.0,7.1,7.1,7.1,,,4.0,2.0,97.0,0.0,0.0,,
32,tt0053742,the crowded sky,1960,549.0,5.9,5.9,5.9,,,4.0,4.0,105.0,0.0,0.0,,
33,tt0053750,the dark at the top of the stairs,1960,635.0,7.1,7.1,7.1,,,4.0,1.0,124.0,1.0,6.0,,
34,tt0053762,desire in the dust,1960,111.0,6.0,6.0,6.0,,,4.0,4.0,102.0,0.0,0.0,,
35,tt0053768,dinosaurus!,1960,860.0,5.0,5.0,6.7,0.45,,4.0,2.0,85.0,0.0,0.0,,
36,tt0053793,elmer gantry,1960,9454.0,7.8,7.8,9.4,3.0,,4.0,1.0,146.0,8.0,12.0,,
37,tt0053800,esther and the king,1960,532.0,5.5,5.5,4.0,,,4.0,4.0,109.0,0.0,0.0,,
38,tt0053804,exodus,1960,8326.0,6.7,6.7,6.7,4.0,,4.0,4.0,208.0,4.0,7.0,,
39,tt0053810,the facts of life,1960,1153.0,6.5,6.5,6.5,,,4.0,3.0,103.0,0.0,11.0,,
40,tt0054878,five guns to tombstone,1960,79.0,5.3,5.3,5.3,,,4.0,3.0,71.0,0.0,0.0,,
41,tt0053825,flaming star,1960,2745.0,6.5,6.5,9.1,,,4.0,1.0,101.0,0.0,0.0,,4.36
42,tt0052819,four fast guns,1960,82.0,6.1,6.1,6.1,,,4.0,1.0,72.0,0.0,0.0,,
43,tt0053837,freckles,1960,40.0,5.5,5.5,5.5,,,4.0,2.0,83.0,0.0,0.0,,
44,tt0053841,from the terrace,1960,2303.0,6.7,6.7,3.1,,,4.0,2.0,149.0,0.0,2.0,,
45,tt0053848,g.i. blues,1960,2977.0,6.3,6.3,0.0,2.0,,4.0,2.0,104.0,0.0,3.0,,
46,tt0053849,the gallant hours,1960,1288.0,7.1,7.1,7.1,,,4.0,3.0,115.0,0.0,0.0,,
47,tt0053865,girl of the night,1960,47.0,7.3,7.3,7.3,,,4.0,1.0,93.0,0.0,0.0,,
48,tt0053877,the grass is greener,1960,4204.0,6.5,6.5,8.8,,,4.0,3.0,104.0,0.0,2.0,,
50,tt0053884,guns of the timberland,1960,270.0,5.7,5.7,5.7,,,4.0,2.0,91.0,0.0,0.0,,
51,tt0053899,hell bent for leather,1960,505.0,6.8,6.8,6.8,0.5,,4.0,1.0,82.0,0.0,0.0,,
52,tt0053901,hell to eternity,1960,945.0,7.0,7.0,7.0,0.8,,4.0,3.0,131.0,0.0,2.0,,
53,tt0053902,heller in pink tights,1960,944.0,6.1,6.1,6.1,3.5,,4.0,1.0,100.0,0.0,0.0,,
55,tt0053912,high time,1960,530.0,6.2,6.2,6.2,,,4.0,2.0,103.0,0.0,1.0,,
56,tt0053917,home from the hill,1960,2694.0,7.4,7.4,9.0,1.82,,4.0,2.0,150.0,3.0,4.0,,
57,tt0054993,the horse with the flying tail,1960,120.0,6.7,6.7,6.7,,,4.0,2.0,48.0,0.0,0.0,,
58,tt0053925,house of usher,1960,11106.0,7.0,7.5,9.0,0.2,,4.0,2.0,79.0,2.0,0.0,,
59,tt0053930,hyde and go tweet,1960,388.0,7.4,7.4,7.4,,,1.0,4.0,6.0,0.0,0.0,0.01,0.01
60,tt0053931,the hypnotic eye,1960,570.0,5.8,5.8,5.8,0.36,,4.0,1.0,79.0,0.0,0.0,,
61,tt0053440,i aim at the stars,1960,161.0,6.4,6.4,6.4,,,4.0,2.0,107.0,0.0,0.0,,
62,tt0053936,ice palace,1960,260.0,6.3,6.3,6.3,,,4.0,3.0,143.0,0.0,0.0,,
63,tt0055001,i'll give my life,1960,33.0,6.5,6.5,6.5,,,4.0,1.0,78.0,0.0,0.0,,
64,tt0053946,inherit the wind,1960,25298.0,8.1,7.5,9.2,,,4.0,3.0,128.0,3.0,7.0,,
65,tt0053957,it started in naples,1960,2129.0,6.4,6.4,0.0,,,4.0,2.0,100.0,0.0,3.0,,
66,tt0053993,key witness,1960,272.0,6.3,6.3,6.3,0.86,,4.0,4.0,82.0,0.0,0.0,,
67,tt0054016,the last voyage,1960,1731.0,6.7,6.7,6.0,,,4.0,4.0,91.0,0.0,1.0,,
68,tt0054017,last woman on earth,1960,1540.0,4.8,4.8,4.8,,,3.0,5.0,71.0,0.0,0.0,,
69,tt0054020,the leech woman,1960,1488.0,4.4,4.4,4.4,,,4.0,3.0,77.0,0.0,0.0,,
70,tt0054022,let's make love,1960,6222.0,6.5,6.5,6.7,3.58,,4.0,3.0,119.0,0.0,5.0,,
71,tt0054021,let no man write my epitaph,1960,379.0,7.2,7.2,7.2,,,4.0,1.0,105.0,0.0,1.0,,
72,tt0054033,the little shop of horrors,1960,15133.0,6.3,6.3,9.2,0.03,,4.0,2.0,72.0,0.0,0.0,,
73,tt0054038,the lost world,1960,3240.0,5.5,5.5,5.5,1.51,,4.0,3.0,97.0,0.0,1.0,,
74,tt0054045,macumba love,1960,49.0,4.9,4.9,4.9,,,4.0,5.0,86.0,0.0,0.0,,
75,tt0054047,the magnificent seven,1960,82944.0,7.7,7.4,8.8,2.0,,4.0,3.0,128.0,1.0,5.0,,
77,tt0054058,man on a string,1960,267.0,6.1,6.1,6.1,,,4.0,4.0,92.0,0.0,0.0,,
78,tt0054082,mice follies,1960,64.0,7.0,7.0,7.0,,,1.0,3.0,6.0,0.0,0.0,,
79,tt0054084,midnight lace,1960,4228.0,6.8,6.8,10.0,,,4.0,3.0,103.0,0.0,4.0,,
81,tt0054095,the mountain road,1960,669.0,6.3,6.3,6.3,,,4.0,2.0,102.0,0.0,0.0,,
82,tt0054102,"murder, inc.",1960,1089.0,6.6,6.6,6.6,,,4.0,4.0,103.0,0.0,1.0,,
83,tt0054103,the music box kid,1960,72.0,4.9,4.9,4.9,,,4.0,2.0,75.0,0.0,0.0,,
84,tt0054198,never on sunday,1960,4782.0,7.3,7.3,7.8,0.15,,4.0,3.0,97.0,2.0,8.0,,
85,tt0054126,noose for a gunman,1960,141.0,5.5,5.5,5.5,,,4.0,1.0,69.0,0.0,0.0,,
86,tt0054127,north to alaska,1960,6539.0,7.0,7.0,5.0,3.5,,4.0,3.0,122.0,1.0,1.0,,
87,tt0054135,ocean's 11,1960,18543.0,6.6,5.7,5.0,2.8,,4.0,4.0,127.0,0.0,2.0,,
