,title,year,category,result
0,gone with the wind,1939,actor,N
1,dark victory,1939,actor,O
2,"goodbye, mr. chips",1939,actor,W
3,love affair,1939,actor,O
4,mr. smith goes to washington,1939,actor,N
5,ninotchka,1939,actor,O
6,of mice and men,1939,actor,O
7,stagecoach,1939,actor,O
8,the wizard of oz,1939,actor,O
9,wuthering heights,1939,actor,N
10,babes in arms,1939,actor,N
11,juarez,1939,actor,O
12,beau geste,1939,actor,O
13,drums along the mohawk,1939,actor,O
14,first love,1939,actor,O
15,the great victor herbert,1939,actor,O
16,the hunchback of notre dame,1939,actor,O
17,intermezzo,1939,actor,O
18,the private lives of elizabeth and essex,1939,actor,O
19,she married a cop,1939,actor,O
20,swanee river,1939,actor,O
21,they shall have music,1939,actor,O
22,way down south,1939,actor,O
23,eternally yours,1939,actor,O
24,golden boy,1939,actor,O
25,gulliver's travels,1939,actor,O
26,the man in the iron mask,1939,actor,O
27,man of conquest,1939,actor,O
28,nurse edith cavell,1939,actor,O
29,the rains came,1939,actor,O
30,second fiddle,1939,actor,O
31,when tomorrow comes,1939,actor,O
32,balalaika,1939,actor,O
33,captain fury,1939,actor,O
34,only angels have wings,1939,actor,O
35,topper takes a trip,1939,actor,O
36,union pacific,1939,actor,O
37,rebecca,1940,actor,N
38,"all this, and heaven too",1940,actor,O
39,foreign correspondent,1940,actor,O
40,the grapes of wrath,1940,actor,N
41,the great dictator,1940,actor,N
42,kitty foyle,1940,actor,O
43,the letter,1940,actor,O
44,the long voyage home,1940,actor,O
45,our town,1940,actor,O
46,the philadelphia story,1940,actor,W
47,abe lincoln in illinois,1940,actor,N
48,the westerner,1940,actor,O
49,they knew what they wanted,1940,actor,O
50,primrose path,1940,actor,O
51,the great mcginty,1940,actor,O
52,angels over broadway,1940,actor,O
53,dr. ehrlich's magic bullet,1940,actor,O
54,pinocchio,1940,actor,O
55,arizona,1940,actor,O
56,dark command,1940,actor,O
57,the fight for life,1940,actor,O
58,the house of the seven gables,1940,actor,O
59,the howards of virginia,1940,actor,O
60,the mark of zorro,1940,actor,O
61,my favorite wife,1940,actor,O
62,north west mounted police,1940,actor,O
63,one million b.c.,1940,actor,O
64,the thief of bagdad,1940,actor,O
65,waterloo bridge,1940,actor,O
66,tin pan alley,1940,actor,O
67,"arise, my love",1940,actor,O
68,hit parade of 1941,1940,actor,O
69,irene,1940,actor,O
70,the sea hawk,1940,actor,O
71,second chorus,1940,actor,O
72,spring parade,1940,actor,O
73,strike up the band,1940,actor,O
74,down argentine way,1940,actor,O
75,you'll find out,1940,actor,O
76,music in my heart,1940,actor,O
77,rhythm on the river,1940,actor,O
78,behind the news,1940,actor,O
79,captain caution,1940,actor,O
80,too many husbands,1940,actor,O
81,pride and prejudice,1940,actor,O
82,the boys from syracuse,1940,actor,O
83,lillian russell,1940,actor,O
84,"my son, my son!",1940,actor,O
85,bitter sweet,1940,actor,O
86,boom town,1940,actor,O
87,the blue bird,1940,actor,O
88,northwest passage,1940,actor,O
89,dr. cyclops,1940,actor,O
90,the invisible man returns,1940,actor,O
91,swiss family robinson,1940,actor,O
92,typhoon,1940,actor,O
93,women in war,1940,actor,O
94,how green was my valley,1941,actor,O
95,citizen kane,1941,actor,N
96,here comes mr. jordan,1941,actor,N
97,the little foxes,1941,actor,O
98,sergeant york,1941,actor,W
99,penny serenade,1941,actor,N
100,all that money can buy,1941,actor,N
101,suspicion,1941,actor,O
102,hold back the dawn,1941,actor,O
103,blossoms in the dust,1941,actor,O
104,ball of fire,1941,actor,O
105,the devil and miss jones,1941,actor,O
106,the maltese falcon,1941,actor,O
107,the great lie,1941,actor,O
108,"tall, dark and handsome",1941,actor,O
109,"tom, dick and harry",1941,actor,O
110,back street,1941,actor,O
111,cheers for miss bishop,1941,actor,O
112,dr. jekyll and mr. hyde,1941,actor,O
113,king of the zombies,1941,actor,O
114,ladies in retirement,1941,actor,O
115,lydia,1941,actor,O
116,mercy island,1941,actor,O
117,so ends our night,1941,actor,O
118,sundown,1941,actor,O
119,tanks a million,1941,actor,O
120,that uncertain feeling,1941,actor,O
121,this woman is mine,1941,actor,O
122,dumbo,1941,actor,O
123,all-american co-ed,1941,actor,O
124,birth of the blues,1941,actor,O
125,buck privates,1941,actor,O
126,the chocolate soldier,1941,actor,O
127,ice-capades,1941,actor,O
128,the strawberry blonde,1941,actor,O
129,sun valley serenade,1941,actor,O
130,sunny,1941,actor,O
131,you'll never get rich,1941,actor,O
132,lady be good,1941,actor,O
133,ridin' on a rainbow,1941,actor,O
134,blues in the night,1941,actor,O
135,las vegas nights,1941,actor,O
136,that hamilton woman,1941,actor,O
137,appointment for love,1941,actor,O
138,the devil pays off,1941,actor,O
139,the men in her life,1941,actor,O
140,skylark,1941,actor,O
141,topper returns,1941,actor,O
142,the flame of new orleans,1941,actor,O
143,the son of monte cristo,1941,actor,O
144,when ladies meet,1941,actor,O
145,sis hopkins,1941,actor,O
146,blood and sand,1941,actor,O
147,louisiana purchase,1941,actor,O
148,aloma of the south seas,1941,actor,O
149,billy the kid,1941,actor,O
150,dive bomber,1941,actor,O
151,i wanted wings,1941,actor,O
152,flight command,1941,actor,O
153,the invisible woman,1941,actor,O
154,the sea wolf,1941,actor,O
155,a yank in the r.a.f.,1941,actor,O
156,mrs. miniver,1942,actor,N
157,kings row,1942,actor,O
158,random harvest,1942,actor,N
159,wake island,1942,actor,O
160,yankee doodle dandy,1942,actor,W
161,the pride of the yankees,1942,actor,N
162,the pied piper,1942,actor,N
163,"now, voyager",1942,actor,O
164,woman of the year,1942,actor,O
165,my sister eileen,1942,actor,O
166,johnny eager,1942,actor,O
167,tortilla flat,1942,actor,O
168,the magnificent ambersons,1942,actor,O
169,one of our aircraft is missing,1942,actor,O
170,road to morocco,1942,actor,O
171,the war against mrs. hadley,1942,actor,O
172,49th parallel,1942,actor,O
173,the talk of the town,1942,actor,O
174,arabian nights,1942,actor,O
175,bambi,1942,actor,O
176,the black swan,1942,actor,O
177,the corsican brothers,1942,actor,O
178,flying tigers,1942,actor,O
179,the gold rush,1942,actor,O
180,i married a witch,1942,actor,O
181,joan of paris,1942,actor,O
182,jungle book,1942,actor,O
183,klondike fury,1942,actor,O
184,the shanghai gesture,1942,actor,O
185,silver queen,1942,actor,O
186,"take a letter, darling",1942,actor,O
187,to be or not to be,1942,actor,O
188,flying with music,1942,actor,O
189,for me and my gal,1942,actor,O
190,holiday inn,1942,actor,O
191,it started with eve,1942,actor,O
192,johnny doughboy,1942,actor,O
193,my gal sal,1942,actor,O
